Title,Number,Arranger/Composer
A Time for Love,1,Nestico
Bye Bye Blackbird ,2,Nestico
Sophisticated Lady ,3,Wolpe
God Bless the Child ,4,Nestico
My Foolish Heart ,5,Como
Lover Man ,7,Nestico
Stella by Starlight ,8,Lassiter
Strollin' ,9,Martin
The Dolphin ,10,Herman
Willow Weep for Me ,11,Wolpe
Manteca ,11.1,Tomaro
Big Bell Walking,12, Fisher
Scrapple from the Apple ,13,Martin
Hard Sock Dance ,14,Nestico
In a Mellow Tone ,15,Foster
Time After Time ,16,Kahn/Stye
Samantha ,17,Nestico
Spring Is Here ,18,Hefti
Artistry for Trumpets,19,Niehaus 
Linda Chicana ,20,Herrick
Splanky ,21,Nestico
I Remember Clifford ,22,Nestico
Deep Purple ,23,Wolpe
My Blue Heaven ,24,Wolpe
Lover ,25,Wolpe
Tippin’ In ,25.1,Newson
Tanga ,26,
Harlem Nocturne ,27,Hagen
Twisted Blues ,28,Royston
Groove Merchant ,29,Q. Jones
You Must Believe in Spring ,30,Como
Witchcraft ,31,Nestico
But Not for Me ,32,Wolpe
The Days of Wine and Roses ,33,Shanklin
Robin's Nest ,34,Nestico
Stardust ,35,
Just Friends ,36,Wolpe
Sandu ,37,
Cherokee ,38,R. Como
Lassus Trombone ,39,Wolpe
Shadow of Your Smile ,40,Como
Funny Valentine ,41,R. Como
Rainy Day ,42,R. Como
Threnody ,43,Como
In a Sentimental Mood ,44,Martin
I Gotta Right to Sing the Blues ,45,Nestico
September Song ,46,Como
Bones Away ,47,
If He Walked into My Life ,48,R. Como
Swang ,49,Smith
If I Could ,50,Curnow
Strollin' ,51,Como
Brazil ,52,Wolpe
Sophisticated Lady ,53,Ellington
Bernie’s Tune,54,Paich
Bleuphoria ,56,Florence
Incredits ,57,Goodwin/Lassiter
Stolen Moments ,58,Martin
Ain’t That a Kick in the Head,59,
Wrappin' It Up ,59,Goodman
Staten Island Ferry ,60,Barnes
Free and Easy ,61,Curnow
Walkin’s Shoes ,62,Paich/Lassiter
Early Autumn ,63,Como
I’ve Found a New Baby ,65,Goodwin
I’ll Remember April ,66,Como
Katy ,67,Nestico
Children of the Sun ,70,Curnow
Stella by Starlight ,71,Wolpe
You Stepped Out of a Dream ,73,Wolpe
A Quiet One,74,Como
Life’s Incredible Again ,75,Lassiter
Not Really the Blues ,76,Nestico
It’s Alright with Me ,77,Martin
Lullaby of Birdland ,78,Strommen
I Cried for You ,79,Wolpe
Violets for Your Furs ,80,Como
Out of Nowhere ,81,Como
Spring Can Really Hang You Up the Most ,82,Berg
Serenata ,83,Hyde
Love Scene ,84,Como
Will You Still Be Mine ,85,Como
Warm Valley ,86,Ellington
Easy Street ,87,Costa
A Night in Tunisia,88,Brock/Gillespie
Look for the Silver Lining ,89,Nestico
Kitty ,90,Como
And The Angels Sing,92,Wolpe
Mr. Lucky ,93,Field
Easy To Love ,94,Nestico
Catdaddy’s Lullaby ,95,McGowan
Central Park West ,96,Fedchock
Too Close ,97,Enos
Sweet and Low ,98,Cohn
Concerto for Cootie ,99,Ellington
Silver Rush,100,Smith
It Had to Be You ,101,Mantooth
Why Not ,102,Como
Samba Dees Godda Do It ,103,Kubis
All In,104,Niehaus
Hip Bones ,105,Pendowski
Disc Jockey Jump ,106,Martin
Opus De Funk ,107,Paich
Up Jumped Spring ,108,Martin
Dancing on the Ceiling ,109,Wolpe
Sweet Georgie Fame ,110,R. Como
Are You Satisfied,111,Pilzer
Out of the Blue ,112,Adler
I Thought About You ,113,Bowman
Blue in Green,114,Bowman
Pyramid ,115,Ellington
This Is Always ,116,Bowman
Zoot,117,Holman
Bunch of Blues ,118,Hooper
Most Royal Count ,119,
Avalon,121,Wolpe
Quincy and the Count ,122,Nestico
The Nearness of You ,124,Martin
Just in Time ,125,Nestico
How Long Has This Been Going On ,126,Comstock
Stars Fell on Alabama ,127,Wolpe
A Nightingale Sang in Berkeley Square,128,Mantooth
Lover Man ,131,Martin
St. Thomas ,134,Martin
I'm Beginning to See the Light ,135,Nestico
Strike up the Band ,136,Nestico
Solar,137,Adler/Davis
This Could Be the Start of Something Big ,139,Lassiter/Allen
Better Git in Your Soul,140,Mingus/Johnson
If I Only Had a Brain ,141,Martin
Buddy's Blues,142,Smith
Lili’s Song ,143,White
Tonight ,144,
Moten Swing ,145,Wilkins
Days of Wine and Roses ,146,Martin
When Lights Are Low ,147,Wolpe
Switch in Time ,148,Nestico
Swagglefish ,149,Lassiter
Gravy ,150,Paich/Lassiter
East of the Sun ,151,Martin
Dream of the Return ,152,Curnow
Blue Cellophane,153,Ellington
All Da Tings,154,Adler/Kern
Moanin’ ,155,Timmons
Blue Invasion ,156,Bellson
Cool ,157,Bernstein/Taylor
Big Mack,158,Keller
Segue in Three ,159,Smith
Middleground,160,Reichman
Somewhere ,161,Bernstein
"The #4,679,385th Blues in Bb ",162,McConnell
I Had the Craziest Dream ,163,Como
Time and Time Again ,164,Rowell
Gina’s Groove ,165,Lassiter
Tall Cotton ,166,Nestico
Jive At Five ,167,
Stealin’ Apples ,168,Como
Pastels ,169,Kenton
Moten Stomp ,170,Moten
Fever ,171,Holmes (vocal)
Sweet Georgia Brown ,172,Nestico
Tequila ,173,Rio
Love Is Here to Stay ,174,Nestico
Silent Night in Tunisia ,175,Lassiter/Gillespie
Prime Time ,176,Nestico
Lulu's Back in Town ,177,Wolpe
Greasy Sak Blues ,179,Eberhart
Since I Fell for You ,180,Wolpe
Nightingale ,181,Como
It's So Nice ,184,Nestico
Theme of Love ,185,Lassiter
What's New ,190,Como
I'm Glad There Is You ,193,Como
You'd Be So Nice ,197,Wolpe
Johnson Rag ,198,Wolpe
I'm Getting Sentimental ,199,Wolpe
What Are You Doing the Rest of Your Life ,200,Como
Fiesta King ,201,Puente
Fancy Pants ,202,Nestico
Mood Indigo ,204,Wolpe
Evil Eyes ,205,Holman
Hard Hearted Hanna ,206,Nestico
Perdido ,207,R. Wright
Stockholm Sweetnin' ,208,Q. Jones
Until I Met You ,209,Green
Fun Time ,210,Nestico
Down Basie Street ,211,Wolpe
Reachin' Out ,212,Nestico
In the Mood ,213,Tyzic (tonight show)
Groovin' Hard ,214,Menza
You 'n Me ,216,Nestico
Blues in Hoss Flat ,217,Basie
Misty ,218,Wolpe
Over the Rainbow ,219,Lowden
Dimensions in BIue ,220,Nestico
The Nearness of You ,221,Enos
Old Devil Moon ,223,Nestico
