Number,Title,Composer,Arranger,Album,Audio,MP3,PDF,Feature
0,Porgy and Bess,Gershwin,?,?,,,,
1,A Time for Love,Johnny Mandel/Paul Francis Webster,Sammy Nestico,Bill Watrous: A Time for Love,,https://belassiter.com/babb/1-a_time_for_love.mp3,,Trombone
2,Bye Bye Blackbird,Ray Henderson/Mort Dixon,Dave Wolpe,,,,,
3,Sophisticated Lady,Duke Ellington,Dave Wolpe,,,,,Alto Sax
4,God Bless the Child,Billie Holiday/Arthur Herzog Jr,Sammy Nestico,,,,,
5,My Foolish Heart,Victor Young/Ned Washington,?,?,,,,
6,Swanee River,Stephen Foster,Sy Oliver,?,,,,
7,Lover Man,Davis/Ramirez/Sherman,Sammy Nestico,,,,,
8,Stella by Starlight,Victor Young,Brian Einstein Lassiter,,,,,
9,Strollin',Horace Silver,Jim Martin,,,,,
10,The Dolphin,?,?,,,,,
11,Willow Weep for Me,Ann Ronell,Dave Wolpe,,,,,
11A,Manteca,Gillespie/Fuller/Gonzales,Mike Tomaro,,,,,
12,Big Bell Walking,Frank Fisher,,,,,,
13,Scrapple from the Apple,Charlie Parker,Jim Martin,,,,,
14,Hard Sock Dance,Quincy Jones/Ernest Bailey,Jones/Nestico,Basie & Beyond,,https://belassiter.com/babb/14-hard_sock_dance.mp3,https://belassiter.com/babb/14-hard_sock_dance.pdf,Piano
15,In a Mellow Tone,Ellington/Gabler,Frank Foster,,,,,
16,Time After Time,Sammy Cahn/Jule Styne,Jim Martin,,,,,
17,Samantha,Sammy Nestico,,Dark Orchid (w/ Bud Shank),,https://belassiter.com/babb/17-samantha-nestico.mp3,https://belassiter.com/babb/17-samantha-nestico.pdf,Alto Sax
18,Spring is Here,Rodgers/Hart,Hefti?,Corner Pocket,,https://belassiter.com/babb/18-Spring_is_here.mp3,https://belassiter.com/babb/18-Spring_is_here.pdf,Bari Sax
19,Artistry for Trumpets,Lennie Niehaus,,,,,,
20,Linda Chicana,Mark Levine,Stephen Herrick,,,,,
23,Deep Purple,Peter DeRose,Dave Wolpe,,,,https://belassiter.com/babb/23-deep_purple-wolpe.pdf,
27,Harlem Nocturne,Sammy Hagan,,Ray Noble,,https://belassiter.com/babb/27-harlem_nocturne.mp3,https://belassiter.com/babb/27-harlem_nocturne.pdf,Alto Sax
29,Groove Merchant,Jerome Richardson,Thad Jones,Central Park North,,https://belassiter.com/babb/29-groove_merchant.mp3,https://belassiter.com/babb/29-groove_merchant.pdf,
37,Sandu,Clifford Brown,Jim Martin,?,,,,Trumpet section
47,Bones Away,?,?,?,,,,
49,Swang,Jessika Smith,,,,https://belassiter.com/babb/49-Swang.mp3,,
52,Brazil,?,?,?,,,,
54,Bernie's Tune,Bernie Miller,Marty Paich,Art Pepper +11,,https://belassiter.com/babb/54-bernies_tune_paich.mp3,https://belassiter.com/babb/54-bernies_tune_paich.pdf,Alto Sax
56,Bleuphoria,Bob Florence,Bob Florence,Magic Time,,https://belassiter.com/babb/56-Bleuphoria.mp3,,Alto Sax
62,Walkin' Shoes,Gerry Mulligan,Marty Paich,Art Pepper +11,,https://belassiter.com/babb/walkin_shoes_paich.mp3,https://belassiter.com/babb/walkin_shoes_paich.pdf,Alto Sax
65,I Found a New Baby,?,Gordon Goodwin,,,,https://belassiter.com/babb/65-I_found_a_new_baby.pdf,
71,I Cried for You,,Dave Wolpe,,,,,
87,Spring Can Really Hang You Up The Most,?,?,?,,,,Trumpet
91,Orange Sherbert,Sammy Nestico,,Basie in Europe,,https://belassiter.com/babb/91-orange_sherbert.mp3,https://belassiter.com/babb/91-orange_sherbert.pdf,
99,Concerto for Cootie,Sammy Nestico,,Basie in Europe,,https://belassiter.com/babb/99-concerto_for_cootie.mp3,https://belassiter.com/babb/99-concerto_for_cootie.pdf,
101,It Had to Be You,Gus Kahn,Frank Mantooth,,,,,
107,Opus de Funk,Horace Silver,Marty Paich,Art Pepper +11,,https://belassiter.com/babb/opus_de_funk_paich.mp3,https://belassiter.com/babb/opus_de_funk_paich.pdf,Alto Sax
110,Sweet Georgia Fame,,Roberta Como,,,,,
112,Out of the Blue,Lincoln Adler,,,,,,
135,Theme of Love,Nobuo Uematsu,Brian Einstein Lassiter,,,,,Trumpet
141,If I Only Had A Brain,Arlen/Harburg,Jim Martin,,,,,
148,Switch in Time,Sammy Nestico,,Basie Straight Ahead,,https://belassiter.com/babb/148-switch_in_time.mp3,,
150,Gravy (Walkin'),Gene Ammons,Marty Paich,Art Pepper +11,,https://belassiter.com/babb/gravy_walkin_paich.mp3,https://belassiter.com/babb/gravy_walkin_paich.pdf,Tenor Sax
172,Sweet Georgia Brown,Sammy Nestico,,Prime Time,,https://belassiter.com/babb/172_sweet_georgia_brown.mp3,https://belassiter.com/babb/172_sweet_georgia_brown.pdf,
180,Since I Fell for You,Budd Johnson,Dave Wolpe,,,https://belassiter.com/babb/180-since_i_fell.pdf,,Alto Sax
184,It's Oh So Nice,Sammy Nestico,,Basie Straight Ahead,,https://belassiter.com/babb/184-its_oh_so_nice-nestico.mp3,https://belassiter.com/babb/184-its_oh_so_nice-nestico.pdf,
207,Perdido,Juan Tizol,Rayburn Wright,UGA Jazz Band,,https://belassiter.com/babb/207-perdido.mp3,https://belassiter.com/babb/207-perdido.pdf,
230,88 Basie Street,Sammy Nestico,,Night Flight,,https://belassiter.com/babb/230-88_basie_street.mp3,https://belassiter.com/babb/230-88_basie_street.pdf,
231,Told You So,Bill Holman,,I Told You So (Count Basie),,https://belassiter.com/babb/231-told_you_so.mp3,https://belassiter.com/babb/231-told_you_so.pdf,
232,Flirt,Bill Holman,,I Told You So (Count Basie),,https://belassiter.com/babb/232-flirt.mp3,https://belassiter.com/babb/232-flirt.pdf,
233,Freckle Face,Sammy Nestico,,Basie Big Band,,https://belassiter.com/babb/233-freckle_face.mp3,https://belassiter.com/babb/233-freckle_face.pdf,
234,Basie Straight Ahead,Sammy Nestico,,Straight Ahead,,https://belassiter.com/babb/234-basie_straight_ahead.mp3,https://belassiter.com/babb/234-basie_straight_ahead.pdf,
235,Things Ain't What They Used to Be,Duke Ellington,Dave Lalama,,,,https://belassiter.com/babb/235-things_aint_what_they_used_to_be.pdf,
236,Angel Eyes,Matt Dennis/Earl Brent,Frank Foster,,,,,Alto Sax
238,Doin' Basie's Thing,Sammy Nestico,,,,https://belassiter.com/babb/238-doin_basies_thing.mp3,https://belassiter.com/babb/238-doin_basies_thing.pdf,
239,You've Changed,Carl Fischer/Bill Carey,Mark Taylor,,,,,
240,Back to Basiques,Matt Catingub,,,,,,
241,Lonely Street,Sammy Nestico,,Straight Ahead,,https://belassiter.com/babb/241-lonely_street.mp3,https://belassiter.com/babb/241-lonely_street.pdf,Alto Sax
242,Growl,,,Clark Terry Orchestra,,,,
243,High Five,,,,,https://belassiter.com/babb/243-high_five.mp3,https://belassiter.com/babb/243-high_five.pdf,
244,When Your Smilin,,Tom Kubis,Slightly off the Ground,,https://belassiter.com/babb/244-when_your_smilin.mp3,,
248,Hava Nice Day,Sammy Nestico,,Have a Nice Day (Count Basie),,https://belassiter.com/babb/248-hava_nice_day-nestico.mp3,https://belassiter.com/248-hava_nice_day-nestico.pdf,
252,Scarecrow,,Frank Como,Buster Harding,,,,Clarinet
253,Memories of You,,Frank Como,,,,,Clarinet
253,Back to Basie,Mark Pendowski,,,,,,
254,Easy Time,Louie Bellson,Tommmy Newsome,,,,,
261,Smack Dab in the Middle,,Mark Taylor,,,,,
262,Red Top,,Mark Taylor,,,,,
263,Rachel,Sammy Nestico,,,,,,
264,Poor Butterfly,,Dave Wolpe,,,,,
265,Scott's Place,Sammy Nestico,,Have a Nice Day (Count Basie),,https://belassiter.com/babb/265-scotts_place.mp3,https://belassiter.com/265-scotts_place.pdf,
266,Groove Merchant,,Barduhn,,,,,
267,Don't Get Around Much Anymore,Duke Ellington,Sammy Nestico,,,,,
274,Orange Sherbert (easy),Sammy Nestico,,,,,,
275,The Heat's On,Sammy Nestico,,,,,,
276,Bijou,,,,,,,
286,Gentle Jim,,,,,,,
295,Star Eyes,,?,,,,,
296,Wait Until Dark,,,,,,,Tenor Sax
311,Saturday Night,,Frank Como,,,,,Bass Trombone/Bass
323,When Sunny Gets Blue,,,,,,,Alto Sax
345,Who's Sorry Now,Sammy Nestico,,Cleveland Jazz Orchestra,,https://belassiter.com/babb/345-whos_sorry_now.mp3,https://belassiter.com/babb/345-whos_sorry_now.pdf,Tenor Sax
360,Hayburner,Sammy Nestico,,Basie Straight Ahead,,https://belassiter.com/babb/360-hayburner-nestico.mp3,https://belassiter.com/babb/360-hayburner-nestico.pdf,
368,Poinciana,Simon/Bernier,Alan Close,,,,,
370,Sambani,Frank Como,,,,,,
